gene_id,SAMN31934616,SAMN31934617,SAMN31934618,SAMN31934759,SAMN31934760,SAMN31934761
gene-LOC102154590|LOC102154590,11,12,10,15,11,14
gene-LOC111098512|LOC111098512,21,20,13,22,34,32
gene-LOC102154803|LOC102154803,379,543,373,306,418,309
gene-LOC100688424|LOC100688424,6,9,0,0,0,0
gene-STXBP5|STXBP5,10764,10356,11788,9176,12278,10290
gene-LOC119870750|LOC119870750,53,22,55,38,27,20
gene-LOC111095675|LOC111095675,12,6,17,0,11,8
gene-SAMD5|SAMD5,530,385,511,465,437,308
gene-LOC100856689|LOC100856689,0,0,0,0,0,5
gene-LOC119870656|LOC119870656,349,314,349,213,320,264
gene-SASH1|SASH1,4304,4388,4224,2964,3512,2825
gene-UST|UST,1110,986,1022,993,999,880
gene-ZC3H12D|ZC3H12D,16,41,42,24,48,39
gene-TAB2|TAB2,3614,2805,3665,2875,3382,2897
gene-PPIL4|PPIL4,799,789,877,899,984,848
gene-LOC106558649|LOC106558649,8,5,20,12,7,5
gene-LOC111090669|LOC111090669,0,0,0,11,9,9
gene-GINM1|GINM1,573,441,526,489,537,487
gene-KATNA1|KATNA1,602,505,661,538,723,595
gene-RAET1E|RAET1E,0,0,0,0,0,0
gene-LOC102156136|LOC102156136,2,1,3,3,1,3
gene-LOC111090672|LOC111090672,12,0,6,0,0,0
gene-LOC100683099|LOC100683099,63,67,51,41,64,36
gene-LOC119870659|LOC119870659,10,16,6,27,41,20
gene-LOC111095759|LOC111095759,29,59,31,88,102,53
gene-LOC111095760|LOC111095760,9,5,10,5,0,5
gene-PPP1R14C|PPP1R14C,937,756,984,788,910,712
gene-LOC119869949|LOC119869949,5,5,3,2,4,0
gene-LATS1|LATS1,1165,840,1175,1237,1336,1146
gene-NUP43|NUP43,339,277,311,410,548,438
gene-PCMT1|PCMT1,7694,5967,8250,7518,9528,8373
gene-LRP11|LRP11,5904,4569,5625,4720,5905,5039
gene-PLEKHG1|PLEKHG1,1008,854,933,625,699,587
gene-LOC119870751|LOC119870751,12,4,6,7,2,1
gene-MTHFD1L|MTHFD1L,1091,1046,1115,859,1327,981
gene-LOC111095761|LOC111095761,29,51,45,30,39,41
gene-AKAP12|AKAP12,5469,4361,4078,2857,4085,3551
gene-LOC119870752|LOC119870752,5,13,12,8,7,0
gene-ZBTB2|ZBTB2,185,166,174,99,153,93
gene-RMND1|RMND1,509,451,494,397,468,435
gene-LOC119869943|LOC119869943,7,6,2,2,3,3
gene-ARMT1|ARMT1,888,927,894,905,1036,1031
gene-CCDC170|CCDC170,144,16,103,123,64,83
gene-LOC111095762|LOC111095762,6,0,0,14,0,0
gene-LOC119870753|LOC119870753,0,0,0,0,0,0
gene-ESR1|ESR1,30,58,33,26,54,26
gene-LOC102151483|LOC102151483,2,0,0,0,0,0
gene-LOC100683830|LOC100683830,11,10,9,13,14,11
gene-FBXO5|FBXO5,27,29,29,36,44,29
gene-MYCT1|MYCT1,174,130,107,105,104,92
gene-VIP|VIP,1581,1113,1696,1268,1806,1336
gene-MTRF1L|MTRF1L,175,179,168,137,209,179
gene-RGS17|RGS17,4089,2876,4169,3152,3858,3353
gene-SYNE1|SYNE1,64984,57742,63921,44299,53840,46223
gene-LOC119870660|LOC119870660,0,0,0,0,2,3
gene-LOC111095813|LOC111095813,0,7,12,7,7,6
gene-LOC102152984|LOC102152984,0,0,0,2,3,0
gene-CNKSR3|CNKSR3,374,568,391,350,336,344
gene-LOC119869885|LOC119869885,0,0,2,0,0,1
gene-OPRM1|OPRM1,76,56,88,55,56,50
gene-IPCEF1|IPCEF1,3493,3009,3330,3214,3581,2834
gene-LOC119869848|LOC119869848,7,6,5,3,9,2
gene-LOC119870755|LOC119870755,12,5,0,5,6,10
gene-LOC106559105|LOC106559105,10,7,0,14,20,13
gene-SCAF8|SCAF8,3216,2645,3159,2671,3093,2762
gene-LOC102157211|LOC102157211,57,51,45,47,61,48
gene-LOC111095840|LOC111095840,63,31,36,63,58,36
gene-LOC119870757|LOC119870757,140,117,172,100,165,111
gene-LOC102153338|LOC102153338,0,4,0,4,0,0
gene-LOC111090678|LOC111090678,0,0,2,3,3,0
gene-TIAM2|TIAM2,1944,1738,1744,1449,1579,1537
gene-TFB1M|TFB1M,190,132,150,77,127,83
gene-CLDN20|CLDN20,166,291,117,83,92,88
gene-LOC100684752|LOC100684752,2,3,2,3,3,2
gene-LOC111095850|LOC111095850,14,11,10,7,10,0
gene-LOC119870758|LOC119870758,30,43,18,25,61,33
gene-LOC119870760|LOC119870760,11,4,12,5,11,0
gene-LOC102153553|LOC102153553,51,36,53,33,50,53
gene-LOC119870146|LOC119870146,7,0,8,0,0,0
gene-LOC119870662|LOC119870662,14,5,5,0,8,8
gene-ARID1B|ARID1B,2105,2008,2275,1757,1985,1676
gene-LOC119870759|LOC119870759,144,116,91,104,121,77
gene-TMEM242|TMEM242,1098,872,1104,977,1137,1089
gene-LDHAL6B|LDHAL6B,60,53,40,36,49,39
gene-LOC111095860|LOC111095860,40,18,23,19,27,16
gene-LOC100685066|LOC100685066,1,1,1,2,0,1
gene-ZDHHC14|ZDHHC14,1003,700,940,618,805,772
gene-LOC106558666|LOC106558666,239,214,261,194,244,222
gene-SNX9|SNX9,903,984,819,641,900,645
gene-LOC111095864|LOC111095864,12,20,6,0,8,0
gene-LOC111090679|LOC111090679,2,2,0,0,0,0
gene-SYNJ2|SYNJ2,2178,2214,2360,1776,2117,1930
gene-LOC119870761|LOC119870761,24,30,29,14,12,12
gene-SERAC1|SERAC1,875,737,927,842,805,804
gene-LOC111095865|LOC111095865,12,14,14,12,0,0
gene-GTF2H5|GTF2H5,632,557,677,587,775,594
gene-LOC102154517|LOC102154517,531,525,432,343,700,374
gene-DYNLT1|DYNLT1,177,122,176,176,233,148
gene-SYTL3|SYTL3,0,5,0,8,0,0
gene-TULP4|TULP4,1571,1653,1574,1303,1357,1206
gene-LOC106558715|LOC106558715,349,504,398,398,372,304
gene-LOC111095871|LOC111095871,28,37,29,27,26,9
gene-TMEM181|TMEM181,2045,1683,2876,2976,1596,3202
gene-LOC119869898|LOC119869898,1,2,0,1,0,2
gene-LOC102155395|LOC102155395,0,0,0,0,0,0
